2021-06-20	17300
2021-06-21	17700
2021-06-22	14400
2021-06-23	14600
2021-06-24	15500
2021-06-25	14200
2021-06-26	12800
2021-06-27	19100
2021-06-28	19000
2021-06-29	18700
2021-06-30	17400
2021-07-01	15800
2021-07-02	12100
2021-07-03	12200
2021-07-04	11600
2021-07-05	14300
2021-07-06	16700
2021-07-07	16700
2021-07-08	16700
2021-07-09	12600
2021-07-10	11300
2021-07-11	17200
2021-07-12	16700
2021-07-13	14900
2021-07-14	14300
2021-07-15	11400
2021-07-16	9610
2021-07-17	9250
2021-07-18	14200
2021-07-19	16300
2021-07-20	14900
2021-07-21	15600
2021-07-22	13600
2021-07-23	11200
2021-07-24	9350
2021-07-25	12100
2021-07-26	15700
2021-07-27	17400
2021-07-28	17500
2021-07-29	14900
2021-07-30	10700
2021-07-31	8800
2021-08-01	15100
2021-08-02	13700
2021-08-03	16900
2021-08-04	17300
2021-08-05	14800
2021-08-06	10800
2021-08-07	9430
2021-08-08	9910
2021-08-09	11300
2021-08-10	13200
2021-08-11	14200
2021-08-12	14700
2021-08-13	12300
2021-08-14	10700
2021-08-15	14100
2021-08-16	14000
2021-08-17	12900
2021-08-18	11700
2021-08-19	11700
2021-08-20	9670
2021-08-21	9750
2021-08-22	8050
2021-08-23	5710
2021-08-24	12000
2021-08-25	15000
2021-08-26	18100
2021-08-27	13600
2021-08-28	10000
2021-08-29	13400
2021-08-30	13300
2021-08-31	9700
2021-09-01	11500
2021-09-02	11900
2021-09-03	9570
2021-09-04	12800
2021-09-05	11300
2021-09-06	13100
2021-09-07	11300
2021-09-08	13700
2021-09-09	11200
2021-09-10	9020
2021-09-11	8050
2021-09-12	13600
2021-09-13	10800
